"","year","spotify_uri","spotify_user","spotify_playlist"
"1",1960,"spotify:user:1237946486:playlist:3M4s2BJCpve1zbvRdr6e6d","1237946486","3M4s2BJCpve1zbvRdr6e6d"
"2",1961,"spotify:user:ghs35974:playlist:7KBmUXAbgCQYbpU10tMeEE","ghs35974","7KBmUXAbgCQYbpU10tMeEE"
"3",1962,"spotify:user:1147308147:playlist:2aYXRqQ94EGQAv5VkkVgsS","1147308147","2aYXRqQ94EGQAv5VkkVgsS"
"4",1963,"spotify:user:bbavar:playlist:0BFdikN3myY8UY6wR5ajnY","bbavar","0BFdikN3myY8UY6wR5ajnY"
"5",1964,"spotify:user:1147308147:playlist:4vmncHjirT0v0GyrONw26x","1147308147","4vmncHjirT0v0GyrONw26x"
"6",1965,"spotify:user:127788653:playlist:3MopOGXdCfNOBQpDbluudf","127788653","3MopOGXdCfNOBQpDbluudf"
"7",1966,"spotify:user:127788653:playlist:1bqw3aB9lfWna30GlQGjmj","127788653","1bqw3aB9lfWna30GlQGjmj"
"8",1967,"spotify:user:rc252224:playlist:5o1iGdL4HsgMSFAvltS2Pe","rc252224","5o1iGdL4HsgMSFAvltS2Pe"
"9",1968,"spotify:user:1147308147:playlist:1KarjlEloE0DQBBGVv56Io","1147308147","1KarjlEloE0DQBBGVv56Io"
"10",1969,"spotify:user:ska4me:playlist:60uhyiX8h79NtEpQlCR9Rm","ska4me","60uhyiX8h79NtEpQlCR9Rm"
"11",1970,"spotify:user:bitcoinbrains:playlist:6yY9W80caWJcRtIxyB59ds","bitcoinbrains","6yY9W80caWJcRtIxyB59ds"
"12",1971,"spotify:user:1147308147:playlist:016fayjsCU41SfJWFUREnE","1147308147","016fayjsCU41SfJWFUREnE"
"13",1972,"spotify:user:1147308147:playlist:7CIeE38SdXZ9J0M76QRhmS","1147308147","7CIeE38SdXZ9J0M76QRhmS"
"14",1973,"spotify:user:1147308147:playlist:4YqVByjHGu3grG3CZa1VKh","1147308147","4YqVByjHGu3grG3CZa1VKh"
"15",1974,"spotify:user:1275630790:playlist:69dtPFfkYa5URry1zo665z","1275630790","69dtPFfkYa5URry1zo665z"
"16",1975,"spotify:user:1275630790:playlist:5ows8MyC8CN95GTbgTovnd","1275630790","5ows8MyC8CN95GTbgTovnd"
"17",1976,"spotify:user:educat5:playlist:6q6DzFMMwpYeU2a90J5IyJ","educat5","6q6DzFMMwpYeU2a90J5IyJ"
"18",1977,"spotify:user:educat5:playlist:4y8bF3PpXtsDrcY7f2eF6I","educat5","4y8bF3PpXtsDrcY7f2eF6I"
"19",1978,"spotify:user:educat5:playlist:2PzvIVbR7xKNZG2WsZgM5J","educat5","2PzvIVbR7xKNZG2WsZgM5J"
"20",1979,"spotify:user:educat5:playlist:7MMIVoteyDNzNp7PJUCeG4","educat5","7MMIVoteyDNzNp7PJUCeG4"
"21",1980,"spotify:user:educat5:playlist:07w1SOtBUepUWKUrOmPj9e","educat5","07w1SOtBUepUWKUrOmPj9e"
"22",1981,"spotify:user:educat5:playlist:4P76pRveK4JvpptO8naSWD","educat5","4P76pRveK4JvpptO8naSWD"
"23",1982,"spotify:user:educat5:playlist:7MmUljl4t4MVp6XvQFNl0Z","educat5","7MmUljl4t4MVp6XvQFNl0Z"
"24",1983,"spotify:user:1227250516:playlist:1iWOVDKYmroNpqFi0NLZh4","1227250516","1iWOVDKYmroNpqFi0NLZh4"
"25",1984,"spotify:user:1242646013:playlist:4eihT0OEMD6ITAjabdLem3","1242646013","4eihT0OEMD6ITAjabdLem3"
"26",1985,"spotify:user:1238855409:playlist:3hnEQLgrmR0geE9YTEsqZP","1238855409","3hnEQLgrmR0geE9YTEsqZP"
"27",1986,"spotify:user:stealthamo:playlist:7cTg2slBWz94CORQ6EOq5r","stealthamo","7cTg2slBWz94CORQ6EOq5r"
"28",1987,"spotify:user:22kt62vvlxsluyyug5mt2drui:playlist:2K6gTIVcddKWTL34ddtfeM","22kt62vvlxsluyyug5mt2drui","2K6gTIVcddKWTL34ddtfeM"
"29",1988,"spotify:user:1238855409:playlist:4PGGwriEHqC4cqbmbXBKME","1238855409","4PGGwriEHqC4cqbmbXBKME"
"30",1989,"spotify:user:12128872417:playlist:6taan6n01bwB2B7EtN9KYI","12128872417","6taan6n01bwB2B7EtN9KYI"
"31",1990,"spotify:user:amckiereads:playlist:0jE4AwYTS0nWZuItWMqJpd","amckiereads","0jE4AwYTS0nWZuItWMqJpd"
"32",1991,"spotify:user:stealthamo:playlist:3L6VgoMbLQKzuJ40Dgyih0","stealthamo","3L6VgoMbLQKzuJ40Dgyih0"
"33",1992,"spotify:user:stealthamo:playlist:3Z60k1DryoH7YgbhPUvAem","stealthamo","3Z60k1DryoH7YgbhPUvAem"
"34",1993,"spotify:user:1238855409:playlist:6yRh4oqYwT2VW88lgpMgSI","1238855409","6yRh4oqYwT2VW88lgpMgSI"
"35",1994,"spotify:user:stealthamo:playlist:6I2P4gBZdYxr0zpbf6JwuY","stealthamo","6I2P4gBZdYxr0zpbf6JwuY"
"36",1995,"spotify:user:stealthamo:playlist:1OIc0vrEB74xjGhetXEh5V","stealthamo","1OIc0vrEB74xjGhetXEh5V"
"37",1996,"spotify:user:1235859463:playlist:2lZbWKpUwZnN99t3fmHRWJ","1235859463","2lZbWKpUwZnN99t3fmHRWJ"
"38",1997,"spotify:user:stealthamo:playlist:1IvJA7GUuWvFCKBtV0cv40","stealthamo","1IvJA7GUuWvFCKBtV0cv40"
"39",1998,"spotify:user:stealthamo:playlist:3TKe4BK5FMMSLnZOf2p23h","stealthamo","3TKe4BK5FMMSLnZOf2p23h"
"40",1999,"spotify:user:1238855409:playlist:6lWAhFNCogTHg2vIhE0HfN","1238855409","6lWAhFNCogTHg2vIhE0HfN"
"41",2000,"spotify:user:garyli08:playlist:4sgfHKNUvjabf82DgycNld","garyli08","4sgfHKNUvjabf82DgycNld"
"42",2001,"spotify:user:stealthamo:playlist:6ND5chB18lHSOCZwH6zJ3d","stealthamo","6ND5chB18lHSOCZwH6zJ3d"
"43",2002,"spotify:user:stealthamo:playlist:1JVJ7Z9XJ8T6b6CziSqtrY","stealthamo","1JVJ7Z9XJ8T6b6CziSqtrY"
"44",2003,"spotify:user:1235859463:playlist:5t2dcMJlYisXlMWeFainZJ","1235859463","5t2dcMJlYisXlMWeFainZJ"
"45",2004,"spotify:user:f0ru0l0rd:playlist:6Lf340gpd9GqoJP2BR6imM","f0ru0l0rd","6Lf340gpd9GqoJP2BR6imM"
"46",2005,"spotify:user:stealthamo:playlist:65QMBLTU6qShbVRnMbZ9sR","stealthamo","65QMBLTU6qShbVRnMbZ9sR"
"47",2006,"spotify:user:1238855409:playlist:2hrZz4GpYbmKDTniC8O7uM","1238855409","2hrZz4GpYbmKDTniC8O7uM"
"48",2007,"spotify:user:1235859463:playlist:3WXIjRjHLKrgeQZNdmTvMr","1235859463","3WXIjRjHLKrgeQZNdmTvMr"
"49",2008,"spotify:user:stealthamo:playlist:38EBMCj1vBdLYLKZmzlCLw","stealthamo","38EBMCj1vBdLYLKZmzlCLw"
"50",2009,"spotify:user:garyli08:playlist:18CuW6LdJvxNLaMPIuJAyr","garyli08","18CuW6LdJvxNLaMPIuJAyr"
"51",2010,"spotify:user:martinh0205:playlist:0JnJKrKjU6BHVm8D2AyLvm","martinh0205","0JnJKrKjU6BHVm8D2AyLvm"
"52",2011,"spotify:user:1235859463:playlist:3wHD9uCy9c3kzAvqusXhB9","1235859463","3wHD9uCy9c3kzAvqusXhB9"
"53",2012,"spotify:user:1235859463:playlist:6r7oXSLDsMkaNXkfguKBPa","1235859463","6r7oXSLDsMkaNXkfguKBPa"
"54",2013,"spotify:user:1276640268:playlist:7mNQeWbZx6EZ9Sz7SRNbPO","1276640268","7mNQeWbZx6EZ9Sz7SRNbPO"
"55",2014,"spotify:user:1141997058:playlist:1harArs7ZDwRr2YNtUIDj0","1141997058","1harArs7ZDwRr2YNtUIDj0"
"56",2015,"spotify:user:1276640268:playlist:2Ct11iXczMd4Z4ejZGYWUN","1276640268","2Ct11iXczMd4Z4ejZGYWUN"
