순위,종목명,현재가,전일비,등락률,시가총액,상장주식수,외국인,,
1,삼성전자,58800,-100,-0.0017,3510232,5969782550,0.4993,,
2,LG에너지솔루션,529000,-34000,-0.0604,1237860,234000000,0.0526,,
3,삼성바이오로직스,829000,-2000,-0.0024,590032,71174000,0.1077,,
4,SK하이닉스,78700,-200,-0.0025,572938,728002365,0.4995,,
5,삼성SDI,699000,-9000,-0.0127,480664,68764530,0.4712,,
6,LG화학,671000,-8000,-0.0118,473675,70592343,0.4812,,
7,삼성전자우,53100,-500,-0.0093,436953,822886700,0.7164,,
8,현대자동차,163000,0,0,348279,213668187,0.2902,,
9,NAVER,186500,3000,0.0163,305952,164049085,0.487,,
10,기아,64600,-400,-0.0062,261865,405363347,0.3621,,
11,셀트리온,176000,1500,0.0086,247817,140805210,0.2151,,
12,카카오,55500,0,0,247203,445410387,0.2681,,
13,POSCO홀딩스,286000,-4000,-0.0138,241874,84571230,0.5156,,
14,삼성물산,117000,1000,0.0086,218658,186887081,0.1685,,
15,KB금융,50900,100,0.002,208129,408897068,0.7317,,
16,현대모비스,205000,-2500,-0.012,193284,94285094,0.3644,,
17,신한지주,37250,0,0,189522,508784869,0.6232,,
18,포스코케미칼,203000,-6000,-0.0287,157250,77463220,0.0884,,
19,SK이노베이션,164000,-500,-0.003,151644,92465564,0.2562,,
20,SK,203000,-1000,-0.0049,150523,74149329,0.2262,,
21,LG전자,89100,-1200,-0.0133,145810,163647814,0.2623,,
22,삼성생명,72500,1900,0.0269,145000,200000000,0.1358,,
23,케이티앤지,98600,800,0.0082,135370,137292497,0.4324,,
24,하나금융지주,44600,500,0.0113,131973,295903476,0.7045,,
25,카카오뱅크,27200,400,0.0149,129666,476713937,0.136,,
26,LG,79400,900,0.0115,124897,157300993,0.3639,,
27,한국전력공사,19350,-450,-0.0227,124220,641964077,0.143,,
28,고려아연,606000,1000,0.0017,120371,19863158,0.2293,,
29,SK텔레콤,50300,100,0.002,110073,218833144,0.4609,,
30,LG생활건강,681000,-12000,-0.0173,106360,15618197,0.3636,,
31,현대중공업,117000,-1500,-0.0127,103865,88773116,0.0638,,
32,엔씨소프트,464000,4000,0.0087,101867,21954022,0.4372,,
33,두산에너빌리티,15950,0,0,101810,638308033,0.1188,,
34,HMM,20750,-100,-0.0048,101476,489039496,0.0952,,
35,삼성전기,134000,-500,-0.0037,100090,74693696,0.2801,,
36,케이티,37250,-150,-0.004,97264,261111808,0.438,,
37,삼성에스디에스,125000,2500,0.0204,96722,77377800,0.1388,,
38,삼성화재해상보험,204000,1000,0.0049,96645,47374837,0.5021,,
39,대한항공,26000,-50,-0.0019,95737,368220661,0.1638,,
40,S-Oil,82800,-700,-0.0084,93219,112582792,0.7994,,
41,우리금융지주,12600,100,0.008,91736,728060549,0.4019,,
42,한화솔루션,47750,-150,-0.0031,91335,191278497,0.2509,,
43,크래프톤,179000,500,0.0028,87839,49072045,0.2926,,
44,카카오페이,62600,1000,0.0162,83234,132962130,0.4288,,
45,기업은행,10950,50,0.0046,81501,744300587,0.1377,,
46,아모레퍼시픽,135000,0,0,78965,58492759,0.2477,,
47,LG이노텍,279500,-6500,-0.0227,66150,23667107,0.2419,,
48,롯데케미칼,190000,500,0.0026,65123,34275419,0.2612,,
49,SK바이오사이언스,82800,100,0.0012,63577,76784046,0.0475,,
50,현대글로비스,169000,0,0,63375,37500000,0.4745,,
51,하이브,145000,0,0,59962,41353387,0.147,,
52,F&F,153500,-3500,-0.0223,58801,38307075,0.1272,,
53,CJ제일제당,371500,-1000,-0.0027,55926,15054186,0.2439,,
54,SK바이오팜,71300,-900,-0.0125,55837,78313250,0.0655,,
55,KODEX 200,30840,-30,-0.001,53322,172900000,0.1113,,
56,강원랜드,24600,-300,-0.012,52629,213940500,0.2301,,
57,LG유플러스,11850,200,0.0172,51738,436611361,0.3806,,
58,한국조선해양,72600,-1200,-0.0163,51381,70773116,0.2028,,
59,메리츠화재,44700,-800,-0.0176,50861,113783000,0.104,,
60,SK스퀘어,35600,400,0.0114,50362,141467571,0.4187,,